"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"03.06.1996","1,12","1,10","1,12","1,09","295,99K","0,90%"
"31.05.1996","1,11","1,13","1,14","1,11","202,84K","-1,77%"
"30.05.1996","1,13","1,13","1,13","1,12","320,36K","0,00%"
"29.05.1996","1,13","1,14","1,15","1,13","295,13K","-1,74%"
"28.05.1996","1,15","1,14","1,15","1,14","295,72K","0,88%"
"27.05.1996","1,14","1,13","1,15","1,13","205,47K","0,88%"
"24.05.1996","1,13","1,13","1,15","1,13","313,20K","0,00%"
"23.05.1996","1,13","1,14","1,15","1,13","297,25K","-2,59%"
"22.05.1996","1,16","1,15","1,16","1,14","266,76K","0,00%"
"21.05.1996","1,16","1,19","1,20","1,15","472,47K","-2,52%"
"20.05.1996","1,19","1,16","1,20","1,16","401,88K","1,71%"
"17.05.1996","1,17","1,20","1,20","1,16","456,62K","-2,50%"
"16.05.1996","1,20","1,17","1,20","1,16","394,07K","0,84%"
"15.05.1996","1,19","1,17","1,19","1,17","388,45K","0,85%"
"14.05.1996","1,18","1,19","1,19","1,17","450,15K","-0,84%"
"13.05.1996","1,19","1,17","1,19","1,16","269,97K","1,71%"
"10.05.1996","1,17","1,16","1,19","1,14","668,72K","0,86%"
"09.05.1996","1,16","1,12","1,17","1,12","860,19K","3,57%"
"08.05.1996","1,12","1,11","1,13","1,11","571,36K","0,00%"
"07.05.1996","1,12","1,08","1,12","1,08","482,92K","2,75%"
"06.05.1996","1,09","1,08","1,09","1,07","215,16K","1,87%"
"03.05.1996","1,07","1,08","1,09","1,07","198,17K","-0,93%"
"02.05.1996","1,08","1,07","1,09","1,06","371,04K","0,93%"
"30.04.1996","1,07","1,07","1,07","1,06","216,84K","0,00%"
"29.04.1996","1,07","1,06","1,07","1,05","263,53K","0,00%"
"26.04.1996","1,07","1,07","1,07","1,05","269,30K","0,00%"
"25.04.1996","1,07","1,07","1,07","1,05","272,87K","0,94%"
"24.04.1996","1,06","1,07","1,08","1,05","205,40K","-1,85%"
"23.04.1996","1,08","1,07","1,08","1,07","198,93K","-0,92%"
"22.04.1996","1,09","1,09","1,09","1,08","276,29K","0,93%"
"19.04.1996","1,08","1,07","1,09","1,07","238,62K","0,93%"
"18.04.1996","1,07","1,06","1,07","1,05","244,73K","0,00%"
"17.04.1996","1,07","1,05","1,08","1,05","371,65K","0,94%"
"16.04.1996","1,06","1,05","1,07","1,04","394,91K","0,95%"
"15.04.1996","1,05","1,04","1,05","1,04","535,58K","-0,94%"
"12.04.1996","1,06","1,04","1,06","1,04","292,73K","1,92%"
"11.04.1996","1,04","1,04","1,04","1,02","179,09K","0,00%"
"10.04.1996","1,04","1,05","1,05","1,03","195,20K","0,00%"
"09.04.1996","1,04","1,05","1,06","1,04","233,42K","-0,95%"
"08.04.1996","1,05","1,05","1,06","1,04","326,09K","-1,87%"
"03.04.1996","1,07","1,07","1,08","1,05","397,94K","0,00%"
"02.04.1996","1,07","1,10","1,11","1,07","187,54K","-2,73%"
"01.04.1996","1,10","1,10","1,11","1,08","306,42K","0,92%"
"29.03.1996","1,09","1,11","1,12","1,07","269,59K","-1,80%"
"28.03.1996","1,11","1,08","1,11","1,08","431,17K","0,00%"
"27.03.1996","1,11","1,08","1,11","1,06","494,37K","2,78%"
"26.03.1996","1,08","1,08","1,10","1,06","433,36K","0,00%"
"25.03.1996","1,08","1,07","1,10","1,07","458,91K","0,93%"
"22.03.1996","1,07","1,05","1,07","1,04","461,38K","0,94%"
"20.03.1996","1,06","1,04","1,06","1,01","519,02K","0,95%"
"19.03.1996","1,05","1,08","1,08","1,05","805,86K","-1,87%"
"18.03.1996","1,07","1,07","1,09","1,07","1,16M","0,00%"
"15.03.1996","1,07","1,05","1,07","1,04","371,84K","1,90%"
"14.03.1996","1,05","1,02","1,06","1,02","492,28K","1,94%"
"13.03.1996","1,03","1,02","1,04","1,02","472,26K","1,98%"
"12.03.1996","1,01","1,02","1,03","1,00","748,73K","0,00%"
"11.03.1996","1,01","0,97","1,01","0,97","871,17K","0,00%"
"08.03.1996","1,01","1,03","1,05","0,98","973,43K","-0,98%"
"07.03.1996","1,02","0,97","1,02","0,95","1,37M","-2,86%"
"06.03.1996","1,05","1,10","1,10","1,05","626,57K","-3,67%"
"05.03.1996","1,09","1,05","1,11","1,04","861,69K","2,83%"
"04.03.1996","1,06","1,04","1,06","1,02","193,66K","2,91%"
"01.03.1996","1,03","1,03","1,05","1,02","384,07K","1,98%"
"29.02.1996","1,01","1,02","1,03","1,00","553,03K","-4,72%"
"28.02.1996","1,06","1,05","1,08","1,04","594,84K","0,95%"
"27.02.1996","1,05","1,04","1,05","1,03","376,20K","0,00%"
"26.02.1996","1,05","1,02","1,05","1,02","515,40K","1,94%"
"23.02.1996","1,03","1,02","1,05","1,02","536,07K","1,98%"
"22.02.1996","1,01","0,98","1,01","0,97","564,27K","3,06%"
"16.02.1996","0,98","0,98","0,99","0,97","330,58K","-2,00%"
"15.02.1996","1,00","1,01","1,01","0,98","365,37K","-1,96%"
"14.02.1996","1,02","1,03","1,03","1,01","606,17K","-1,92%"
"13.02.1996","1,04","1,01","1,06","1,01","1,60M","0,00%"
"12.02.1996","1,04","1,01","1,04","1,01","796,14K","1,96%"
"09.02.1996","1,02","1,03","1,04","1,01","471,82K","-0,97%"
"08.02.1996","1,03","1,02","1,04","0,99","675,54K","0,00%"
"07.02.1996","1,03","1,05","1,05","1,02","312,61K","-1,90%"
"06.02.1996","1,05","1,06","1,06","1,02","333,92K","0,96%"
"05.02.1996","1,04","1,04","1,05","1,01","585,94K","-1,89%"
"02.02.1996","1,06","1,01","1,06","1,00","788,07K","6,00%"
"01.02.1996","1,00","0,94","1,01","0,92","798,55K","6,38%"
"31.01.1996","0,94","0,92","0,94","0,91","515,57K","2,17%"
"30.01.1996","0,92","0,89","0,94","0,89","530,69K","4,55%"
"29.01.1996","0,88","0,89","0,89","0,87","309,64K","0,00%"
"26.01.1996","0,88","0,89","0,89","0,87","382,21K","-2,22%"
"24.01.1996","0,90","0,90","0,92","0,89","332,42K","-2,17%"
"23.01.1996","0,92","0,92","0,92","0,91","349,52K","1,10%"
"22.01.1996","0,91","0,92","0,92","0,90","172,68K","-1,09%"
"19.01.1996","0,92","0,91","0,92","0,89","402,08K","1,10%"
"18.01.1996","0,91","0,91","0,93","0,91","226,41K","-1,09%"
"17.01.1996","0,92","0,91","0,94","0,91","262,51K","-1,08%"
"16.01.1996","0,93","0,95","0,96","0,92","382,60K","-2,11%"
"15.01.1996","0,95","0,94","0,96","0,92","349,24K","2,15%"
"12.01.1996","0,93","0,90","0,94","0,90","670,78K","4,49%"
"11.01.1996","0,89","0,87","0,89","0,87","385,84K","2,30%"
"10.01.1996","0,87","0,88","0,89","0,86","474,79K","-2,25%"
"09.01.1996","0,89","0,89","0,89","0,87","382,35K","0,00%"
"08.01.1996","0,89","0,89","0,91","0,89","553,52K","0,00%"
"05.01.1996","0,89","0,87","0,89","0,85","808,63K","2,30%"
"04.01.1996","0,87","0,87","0,88","0,85","485,77K","1,16%"
"03.01.1996","0,86","0,79","0,86","0,79","1,11M","10,26%"
"02.01.1996","0,78","0,77","0,79","0,77","309,02K","1,30%"
"28.12.1995","0,77","0,77","0,77","0,76","290,93K","-1,28%"
"27.12.1995","0,78","0,79","0,79","0,77","207,69K","0,00%"
"26.12.1995","0,78","0,79","0,79","0,78","297,63K","0,00%"
"22.12.1995","0,78","0,77","0,79","0,77","474,41K","2,63%"
"21.12.1995","0,76","0,77","0,77","0,75","367,73K","0,00%"
"20.12.1995","0,76","0,74","0,76","0,74","419,13K","4,11%"
"19.12.1995","0,73","0,72","0,73","0,72","347,19K","0,00%"
"18.12.1995","0,73","0,73","0,74","0,72","1,64M","-1,35%"
"15.12.1995","0,74","0,73","0,75","0,72","260,13K","0,00%"
"14.12.1995","0,74","0,77","0,77","0,73","331,97K","-5,13%"
"13.12.1995","0,78","0,78","0,78","0,76","407,43K","1,30%"
"12.12.1995","0,77","0,77","0,78","0,76","284,67K","0,00%"
"11.12.1995","0,77","0,76","0,77","0,75","101,01K","1,32%"
"08.12.1995","0,76","0,77","0,78","0,76","153,68K","-1,30%"
"07.12.1995","0,77","0,76","0,78","0,76","295,70K","1,32%"
"06.12.1995","0,76","0,77","0,79","0,76","1,16M","-1,30%"
"05.12.1995","0,77","0,77","0,78","0,75","276,61K","-1,28%"
"04.12.1995","0,78","0,78","0,79","0,77","418,80K","0,00%"
"01.12.1995","0,78","0,74","0,79","0,73","576,34K","2,63%"
"30.11.1995","0,76","0,73","0,77","0,72","819,45K","7,04%"
"29.11.1995","0,71","0,70","0,72","0,70","527,49K","1,43%"
"28.11.1995","0,70","0,74","0,75","0,70","345,54K","-4,11%"
"27.11.1995","0,73","0,74","0,76","0,71","440,81K","0,00%"
"24.11.1995","0,73","0,75","0,75","0,73","361,02K","-2,67%"
"23.11.1995","0,75","0,71","0,76","0,71","246,04K","5,63%"
"22.11.1995","0,71","0,73","0,74","0,71","984,67K","-1,39%"
"21.11.1995","0,72","0,72","0,72","0,70","482,59K","0,00%"
"20.11.1995","0,72","0,72","0,73","0,71","249,06K","-2,70%"
"17.11.1995","0,74","0,75","0,76","0,74","293,53K","-1,33%"
"16.11.1995","0,75","0,74","0,75","0,73","281,44K","4,17%"
"14.11.1995","0,72","0,71","0,72","0,68","360,56K","1,41%"
"13.11.1995","0,71","0,73","0,73","0,69","363,30K","-4,05%"
"10.11.1995","0,74","0,77","0,77","0,72","380,77K","-3,90%"
"09.11.1995","0,77","0,78","0,79","0,76","199,88K","0,00%"
"08.11.1995","0,77","0,77","0,77","0,74","307,88K","2,67%"
"07.11.1995","0,75","0,75","0,76","0,74","236,26K","-1,32%"
"06.11.1995","0,76","0,76","0,77","0,75","190,77K","-1,30%"
"03.11.1995","0,77","0,76","0,77","0,75","190,03K","1,32%"
"01.11.1995","0,76","0,77","0,77","0,76","247,52K","-1,30%"
"31.10.1995","0,77","0,77","0,77","0,76","169,81K","1,32%"
"30.10.1995","0,76","0,77","0,77","0,75","258,16K","-1,30%"
"27.10.1995","0,77","0,76","0,78","0,73","472,48K","1,32%"
"26.10.1995","0,76","0,81","0,81","0,75","791,57K","-7,32%"
"25.10.1995","0,82","0,86","0,86","0,82","353,45K","-3,53%"
"24.10.1995","0,85","0,88","0,88","0,85","492,31K","-3,41%"
"23.10.1995","0,88","0,89","0,89","0,87","299,68K","-1,12%"
"20.10.1995","0,89","0,89","0,89","0,88","322,66K","1,14%"
"19.10.1995","0,88","0,89","0,89","0,88","231,84K","-1,12%"
"18.10.1995","0,89","0,89","0,90","0,88","456,94K","-1,11%"
"17.10.1995","0,90","0,88","0,90","0,87","463,94K","4,65%"
"16.10.1995","0,86","0,88","0,88","0,85","386,02K","-1,15%"
"13.10.1995","0,87","0,88","0,89","0,87","211,90K","-1,14%"
"11.10.1995","0,88","0,87","0,88","0,86","255,24K","1,15%"
"10.10.1995","0,87","0,86","0,87","0,85","218,22K","-1,14%"
"09.10.1995","0,88","0,89","0,89","0,88","164,56K","-1,12%"
"06.10.1995","0,89","0,90","0,91","0,89","259,57K","0,00%"
"05.10.1995","0,89","0,89","0,90","0,88","294,04K","1,14%"
"04.10.1995","0,88","0,88","0,89","0,87","179,51K","-1,12%"
"03.10.1995","0,89","0,89","0,89","0,86","328,05K","1,14%"
"02.10.1995","0,88","0,93","0,94","0,88","296,15K","-5,38%"
"29.09.1995","0,93","0,91","0,94","0,91","235,21K","2,20%"
"28.09.1995","0,91","0,92","0,94","0,90","366,42K","0,00%"
"27.09.1995","0,91","0,91","0,93","0,90","386,62K","-1,09%"
"26.09.1995","0,92","0,94","0,95","0,91","433,94K","-1,08%"
"25.09.1995","0,93","0,94","0,94","0,91","321,38K","-1,06%"
"22.09.1995","0,94","0,94","0,95","0,92","634,66K","-1,05%"
"21.09.1995","0,95","0,97","0,98","0,94","606,60K","-3,06%"
"20.09.1995","0,98","1,00","1,01","0,97","311,26K","-2,00%"
"19.09.1995","1,00","1,03","1,04","0,99","649,79K","-1,96%"
"18.09.1995","1,02","1,00","1,04","1,00","460,12K","0,99%"
"15.09.1995","1,01","1,01","1,01","0,97","811,28K","2,02%"
"14.09.1995","0,99","0,92","1,01","0,92","1,36M","6,45%"
"13.09.1995","0,93","0,89","0,95","0,88","790,92K","4,49%"
"12.09.1995","0,89","0,89","0,90","0,88","376,32K","0,00%"
"11.09.1995","0,89","0,87","0,89","0,86","405,21K","2,30%"
"08.09.1995","0,87","0,88","0,88","0,86","58,35K","-1,14%"
"06.09.1995","0,88","0,88","0,88","0,86","237,75K","0,00%"
"05.09.1995","0,88","0,88","0,88","0,86","275,38K","1,15%"
"04.09.1995","0,87","0,87","0,88","0,85","189,94K","1,16%"
"01.09.1995","0,86","0,85","0,87","0,85","271,67K","2,38%"
"31.08.1995","0,84","0,83","0,86","0,81","374,79K","1,20%"
"30.08.1995","0,83","0,84","0,84","0,81","574,80K","-2,35%"
"29.08.1995","0,85","0,87","0,88","0,84","399,16K","-4,49%"
"28.08.1995","0,89","0,88","0,89","0,88","203,48K","2,30%"
"25.08.1995","0,87","0,87","0,87","0,84","357,37K","1,16%"
"24.08.1995","0,86","0,87","0,89","0,85","686,37K","-2,27%"
"23.08.1995","0,88","0,86","0,89","0,85","787,72K","3,53%"
"22.08.1995","0,85","0,83","0,86","0,81","427,89K","2,41%"
"21.08.1995","0,83","0,81","0,83","0,81","311,38K","3,75%"
"18.08.1995","0,80","0,82","0,83","0,80","280,45K","-1,23%"
"17.08.1995","0,81","0,83","0,86","0,81","304,27K","-2,41%"
"16.08.1995","0,83","0,80","0,83","0,79","512,46K","2,47%"
"15.08.1995","0,81","0,80","0,83","0,80","482,36K","1,25%"
"14.08.1995","0,80","0,80","0,80","0,78","349,13K","-2,44%"
"11.08.1995","0,82","0,83","0,84","0,81","389,73K","-4,65%"
"10.08.1995","0,86","0,87","0,87","0,85","253,20K","1,18%"
"09.08.1995","0,85","0,87","0,89","0,85","330,99K","-2,30%"
"08.08.1995","0,87","0,88","0,89","0,85","487,01K","-2,25%"
"07.08.1995","0,89","0,85","0,90","0,85","650,96K","3,49%"
"04.08.1995","0,86","0,83","0,86","0,83","574,18K","4,88%"
"03.08.1995","0,82","0,78","0,82","0,78","196,54K","3,80%"
"02.08.1995","0,79","0,80","0,82","0,79","381,44K","1,28%"
"01.08.1995","0,78","0,80","0,81","0,78","324,08K","-2,50%"
"31.07.1995","0,80","0,79","0,81","0,79","246,98K","0,00%"
"28.07.1995","0,80","0,81","0,82","0,80","228,20K","0,00%"
"27.07.1995","0,80","0,81","0,81","0,79","143,99K","0,00%"
"26.07.1995","0,80","0,81","0,81","0,79","65,74K","-1,23%"
"25.07.1995","0,81","0,82","0,82","0,81","146,92K","-1,22%"
"24.07.1995","0,82","0,79","0,82","0,79","350,75K","2,50%"
"21.07.1995","0,80","0,81","0,82","0,79","226,27K","-1,23%"
"20.07.1995","0,81","0,80","0,82","0,79","528,24K","2,53%"
"19.07.1995","0,79","0,81","0,82","0,78","572,18K","-3,66%"
"18.07.1995","0,82","0,84","0,84","0,82","633,64K","-3,53%"
"17.07.1995","0,85","0,87","0,87","0,85","202,62K","-2,30%"
"14.07.1995","0,87","0,84","0,87","0,82","383,87K","2,35%"
"13.07.1995","0,85","0,87","0,88","0,85","295,98K","-2,30%"
"12.07.1995","0,87","0,83","0,87","0,83","488,52K","4,82%"
"11.07.1995","0,83","0,84","0,86","0,82","493,24K","-1,19%"
"10.07.1995","0,84","0,84","0,85","0,83","360,29K","1,20%"
"07.07.1995","0,83","0,81","0,83","0,80","423,62K","3,75%"
"06.07.1995","0,80","0,78","0,81","0,78","502,39K","3,90%"
"05.07.1995","0,77","0,74","0,78","0,74","724,26K","2,67%"
"04.07.1995","0,75","0,72","0,75","0,72","392,46K","4,17%"
"03.07.1995","0,72","0,73","0,73","0,71","115,04K","0,00%"
"30.06.1995","0,72","0,74","0,75","0,72","126,31K","-2,70%"
"29.06.1995","0,74","0,73","0,74","0,72","435,90K","1,37%"
"28.06.1995","0,73","0,74","0,76","0,73","361,25K","-1,35%"
"27.06.1995","0,74","0,72","0,75","0,72","468,95K","2,78%"
"26.06.1995","0,72","0,72","0,72","0,71","205,93K","-1,37%"
"23.06.1995","0,73","0,74","0,75","0,72","332,31K","0,00%"
"22.06.1995","0,73","0,76","0,76","0,73","323,38K","-2,67%"
"21.06.1995","0,75","0,70","0,76","0,70","354,45K","4,17%"
"20.06.1995","0,72","0,73","0,74","0,72","443,07K","-2,70%"
"19.06.1995","0,74","0,76","0,78","0,74","320,07K","-2,63%"
"16.06.1995","0,76","0,76","0,77","0,74","174,65K","0,00%"
"14.06.1995","0,76","0,78","0,78","0,76","427,15K","-3,80%"
"13.06.1995","0,79","0,80","0,81","0,76","493,34K","1,28%"
"12.06.1995","0,78","0,79","0,80","0,77","353,08K","-2,50%"
"09.06.1995","0,80","0,82","0,83","0,79","590,00K","-4,76%"
"08.06.1995","0,84","0,84","0,86","0,81","607,95K","1,20%"
"07.06.1995","0,83","0,87","0,87","0,83","397,87K","-4,60%"
"06.06.1995","0,87","0,90","0,90","0,85","427,90K","-4,40%"
"05.06.1995","0,91","0,89","0,91","0,88","560,06K","4,60%"
"02.06.1995","0,87","0,85","0,88","0,84","804,17K","6,10%"
"01.06.1995","0,82","0,78","0,82","0,78","502,80K","5,13%"
"31.05.1995","0,78","0,81","0,83","0,78","359,93K","-2,50%"
"30.05.1995","0,80","0,84","0,85","0,79","495,20K","-5,88%"
"29.05.1995","0,85","0,85","0,86","0,82","458,53K","-1,16%"
"26.05.1995","0,86","0,86","0,89","0,85","539,02K","0,00%"
"25.05.1995","0,86","0,89","0,90","0,86","478,67K","-2,27%"
"24.05.1995","0,88","0,87","0,89","0,86","458,87K","1,15%"
"23.05.1995","0,87","0,88","0,89","0,85","539,23K","0,00%"
"22.05.1995","0,87","0,83","0,87","0,83","414,85K","4,82%"
"19.05.1995","0,83","0,83","0,84","0,82","826,08K","-1,19%"
"18.05.1995","0,84","0,82","0,87","0,82","749,64K","3,70%"
"17.05.1995","0,81","0,78","0,82","0,77","449,84K","5,19%"
"16.05.1995","0,77","0,79","0,79","0,76","641,17K","-2,53%"
"15.05.1995","0,79","0,85","0,85","0,79","487,06K","-4,82%"
"12.05.1995","0,83","0,81","0,84","0,81","602,53K","1,22%"
"11.05.1995","0,82","0,86","0,87","0,82","474,47K","-3,53%"
"10.05.1995","0,85","0,89","0,89","0,85","574,02K","-2,30%"
"09.05.1995","0,87","0,84","0,88","0,83","424,80K","4,82%"
"08.05.1995","0,83","0,86","0,86","0,82","379,58K","-3,49%"
"05.05.1995","0,86","0,89","0,89","0,85","566,63K","-1,15%"
"04.05.1995","0,87","0,83","0,89","0,83","725,14K","4,82%"
"03.05.1995","0,83","0,81","0,86","0,81","663,64K","3,75%"
"02.05.1995","0,80","0,77","0,81","0,76","433,35K","2,56%"
"28.04.1995","0,78","0,78","0,81","0,77","599,81K","1,30%"
"27.04.1995","0,77","0,74","0,79","0,73","631,96K","4,05%"
"26.04.1995","0,74","0,71","0,76","0,71","911,77K","5,71%"
"25.04.1995","0,70","0,66","0,72","0,66","860,03K","6,06%"
"24.04.1995","0,66","0,64","0,66","0,63","420,39K","4,76%"
"20.04.1995","0,63","0,64","0,64","0,62","628,31K","0,00%"
"19.04.1995","0,63","0,60","0,63","0,60","615,10K","3,28%"
"18.04.1995","0,61","0,60","0,62","0,59","338,60K","1,67%"
"17.04.1995","0,60","0,56","0,62","0,56","679,99K","5,26%"
"12.04.1995","0,57","0,55","0,58","0,54","371,67K","1,79%"
"11.04.1995","0,56","0,59","0,59","0,54","280,48K","-5,08%"
"10.04.1995","0,59","0,61","0,61","0,58","263,59K","-3,28%"
"07.04.1995","0,61","0,63","0,63","0,61","260,36K","-4,69%"
"06.04.1995","0,64","0,65","0,66","0,63","467,81K","1,59%"
"05.04.1995","0,63","0,62","0,66","0,61","397,84K","0,00%"
"04.04.1995","0,63","0,56","0,63","0,56","514,75K","14,55%"
"03.04.1995","0,55","0,55","0,57","0,54","344,96K","-5,17%"
"31.03.1995","0,58","0,60","0,61","0,57","303,94K","-3,33%"
"30.03.1995","0,60","0,66","0,67","0,60","516,38K","-4,76%"
"29.03.1995","0,63","0,63","0,67","0,62","458,80K","-3,08%"
"28.03.1995","0,65","0,65","0,68","0,64","368,46K","-2,99%"
"27.03.1995","0,67","0,68","0,73","0,67","404,88K","-1,47%"
"24.03.1995","0,68","0,66","0,70","0,66","539,28K","4,62%"
"23.03.1995","0,65","0,59","0,65","0,58","338,99K","6,56%"
"22.03.1995","0,61","0,64","0,67","0,60","531,32K","-3,17%"
"21.03.1995","0,63","0,63","0,64","0,62","307,05K","5,00%"
"20.03.1995","0,60","0,67","0,67","0,60","398,21K","-9,09%"
"17.03.1995","0,66","0,67","0,68","0,62","622,15K","-1,49%"
"16.03.1995","0,67","0,63","0,67","0,61","561,66K","8,06%"
"15.03.1995","0,62","0,64","0,67","0,61","487,09K","-3,12%"
"14.03.1995","0,64","0,59","0,66","0,59","661,45K","14,29%"
"13.03.1995","0,56","0,58","0,60","0,52","556,35K","-3,45%"
"10.03.1995","0,58","0,48","0,59","0,46","920,17K","23,40%"
"09.03.1995","0,47","0,54","0,54","0,46","704,67K","-9,62%"
"08.03.1995","0,52","0,60","0,61","0,52","793,07K","-11,86%"
"07.03.1995","0,59","0,70","0,71","0,58","741,57K","-14,49%"
"06.03.1995","0,69","0,70","0,73","0,67","367,40K","-4,17%"
"03.03.1995","0,72","0,72","0,73","0,68","427,31K","-1,37%"
"02.03.1995","0,73","0,76","0,76","0,72","310,29K","-8,75%"
"24.02.1995","0,80","0,82","0,84","0,79","427,66K","-1,23%"
"23.02.1995","0,81","0,72","0,82","0,72","558,14K","12,50%"
"22.02.1995","0,72","0,69","0,73","0,66","459,87K","4,35%"
"21.02.1995","0,69","0,75","0,76","0,69","552,21K","-8,00%"
"20.02.1995","0,75","0,77","0,78","0,74","475,84K","-2,60%"
"17.02.1995","0,77","0,75","0,77","0,72","501,97K","6,94%"
"16.02.1995","0,72","0,73","0,74","0,67","689,73K","-5,26%"
"15.02.1995","0,76","0,78","0,82","0,75","730,94K","-3,80%"
"14.02.1995","0,79","0,79","0,80","0,77","343,96K","-2,47%"
"13.02.1995","0,81","0,80","0,83","0,80","367,44K","5,19%"
"10.02.1995","0,77","0,78","0,79","0,76","362,29K","-1,28%"
"09.02.1995","0,78","0,81","0,81","0,77","629,92K","-6,02%"
"08.02.1995","0,83","0,85","0,85","0,81","209,96K","0,00%"
"07.02.1995","0,83","0,86","0,86","0,82","317,95K","-4,60%"
"06.02.1995","0,87","0,89","0,92","0,86","241,85K","-2,25%"
"03.02.1995","0,89","0,86","0,90","0,85","512,61K","3,49%"
"02.02.1995","0,86","0,88","0,88","0,82","795,30K","-2,27%"
"01.02.1995","0,88","0,86","0,91","0,86","663,32K","3,53%"
"31.01.1995","0,85","0,78","0,87","0,77","518,20K","8,97%"
"30.01.1995","0,78","0,80","0,80","0,77","518,99K","-7,14%"
"27.01.1995","0,84","0,88","0,89","0,82","767,79K","-3,45%"
"26.01.1995","0,87","0,84","0,88","0,82","651,32K","7,41%"
"24.01.1995","0,81","0,83","0,83","0,80","579,15K","2,53%"
"23.01.1995","0,79","0,82","0,82","0,78","481,40K","-5,95%"
"20.01.1995","0,84","0,80","0,85","0,77","549,15K","2,44%"
"19.01.1995","0,82","0,86","0,88","0,80","457,97K","-7,87%"
"18.01.1995","0,89","0,90","0,93","0,87","370,43K","-2,20%"
"17.01.1995","0,91","0,87","0,95","0,86","735,41K","2,25%"
"16.01.1995","0,89","0,92","0,92","0,83","747,52K","-2,20%"
"13.01.1995","0,91","0,83","0,92","0,80","680,70K","10,98%"
"12.01.1995","0,82","0,77","0,82","0,77","967,84K","12,33%"
"11.01.1995","0,73","0,71","0,77","0,66","1,20M","2,82%"
"10.01.1995","0,71","0,77","0,81","0,67","785,39K","-10,13%"
"09.01.1995","0,79","0,81","0,84","0,76","516,84K","-3,66%"
"06.01.1995","0,82","0,89","0,90","0,80","545,20K","-7,87%"
"05.01.1995","0,89","0,89","0,91","0,86","355,21K","1,14%"
"04.01.1995","0,88","0,90","0,90","0,85","671,99K","-3,30%"
"03.01.1995","0,91","0,98","1,00","0,90","324,55K","-6,19%"
